retweet,likes,reply,num,image,video,gif
0,11,1,2,0,0,0
0,1,0,1,0,0,0
2,2,0,1,0,0,0
1,19,4,3,0,0,0
6,12,1,1,0,0,0
0,1,2,1,0,0,0
0,3,0,1,0,0,0
0,2,1,1,1,0,0
2,6,1,1,1,0,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
0,5,0,1,1,0,0
0,3,0,1,0,0,0
0,0,0,1,1,0,0
0,3,0,1,0,0,0
0,0,0,2,0,0,0
0,1,1,2,0,0,0
1,0,0,1,0,0,0
0,0,0,1,0,0,0
0,2,0,1,0,0,0
1,2,0,1,0,0,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
4,27,1,1,0,0,0
2,1,0,1,0,0,0
0,0,0,2,1,0,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
0,0,0,3,3,0,0
0,1,0,1,0,0,0
0,0,0,1,0,0,0
11,30,15,1,0,0,0
0,0,0,1,1,0,0
0,4,0,1,0,0,0
0,2,0,1,0,0,0
0,4,0,1,0,0,0
1,9,2,2,2,0,0
3,20,2,1,1,0,0
0,0,0,2,2,0,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
0,0,0,1,1,0,0
0,1,0,1,0,0,0
0,7,0,3,0,1,0
1,1,3,1,0,0,0
2,1,1,1,0,0,0
0,0,0,1,0,0,0
0,8,1,1,0,0,0
0,5,0,2,1,0,0
1,3,0,1,0,0,0
0,2,0,1,1,0,0
7,107,8,1,0,0,0
0,0,0,1,1,0,0
0,1,0,1,0,0,0
0,0,0,1,0,0,0
0,3,0,2,0,0,0
0,0,0,1,0,0,0
0,5,0,2,0,0,0
2,3,3,2,1,0,0
0,0,0,3,0,0,0
0,0,1,3,0,0,0
0,2,0,1,0,0,0
0,0,1,1,1,0,0
5,10,4,1,0,0,0
0,4,3,1,0,0,0
0,0,0,1,1,0,0
0,0,0,2,0,0,0
1,0,1,2,0,0,0
0,0,0,1,1,0,0
0,1,0,2,1,0,0
0,0,0,1,0,0,0
0,0,0,2,2,0,0
10,38,0,25,2,0,0
57,376,14,32,1,0,0
4,17,1,8,0,0,0
0,28,3,15,4,0,0
0,3,0,4,1,0,0
0,3,1,4,0,0,0
0,0,0,1,1,0,0
1,7,1,2,0,0,0
121,953,146,7,0,0,0
1,6,2,7,1,0,0
0,0,0,1,1,0,0
0,2,2,1,0,0,0
0,0,0,2,0,0,0
1,14,1,3,0,0,0
2,1,0,1,0,0,0
0,2,0,1,0,0,0
5,32,9,5,0,0,0
3,9,12,4,0,0,0
1,3,0,1,0,0,0
0,1,0,1,0,0,0
0,5,0,1,1,0,0
0,0,0,1,0,0,0
0,2,0,1,0,0,0
1,14,0,1,0,0,0
44,161,29,8,2,0,0
41,154,25,30,5,0,0
34,321,53,51,16,1,0
38,266,34,43,5,1,0
11,90,46,27,5,0,0
9,25,5,18,2,0,0
1,3,0,11,6,0,0
4,52,9,9,2,0,0
0,6,3,8,1,0,0
18,74,9,12,4,0,0
7,39,1,9,0,0,0
3,5,0,7,0,0,0
0,5,1,3,0,0,0
6,41,1,7,1,0,0
9,100,11,4,0,0,0
3,6,0,1,0,0,0
0,10,2,4,2,0,0
0,12,3,3,1,0,0
1,1,1,4,0,0,0
0,0,0,2,0,0,0
1,3,1,4,1,0,0
17,312,24,4,2,0,0
0,0,0,3,2,0,0
23,352,46,17,3,0,0
2,12,1,12,3,0,0
6,88,6,17,2,0,0
7,51,8,19,3,0,0
7,87,19,24,10,0,0
2,10,0,10,1,0,0
1,7,0,3,0,0,0
16,210,13,10,0,0,0
1,7,1,6,1,0,0
4,33,9,8,3,0,0
3,21,4,6,1,1,0
5,25,4,12,3,0,0
10,91,12,2,0,0,0
8,78,20,2,0,0,0
0,13,1,4,0,0,0
0,4,2,4,1,0,0
0,3,3,4,0,0,0
0,0,0,2,0,0,0
0,4,1,2,2,0,0
85,349,35,5,1,0,0
11,33,10,9,2,0,0
5,5,2,3,0,0,0
5,8,8,7,0,0,0
1,32,3,4,0,0,0
4,124,32,6,1,0,0
0,9,1,5,0,0,0
32,193,27,9,1,0,0
0,1,0,5,0,0,0
1,3,0,3,1,0,0
3,8,2,13,1,0,0
2,21,7,4,2,0,0
0,0,1,2,0,0,0
0,0,0,1,0,0,0
1,1,0,4,1,0,0
0,0,1,2,0,0,0
0,6,0,1,0,0,0
0,0,0,1,0,0,0
