Date,retweet,likes,reply,num,image,video,gif
2020-12-25 00:00:00,0,11,1,2,0,0,0
2020-12-25 12:00:00,0,1,0,1,0,0,0
2020-12-25 14:00:00,2,2,0,1,0,0,0
2020-12-26 00:00:00,1,19,4,3,0,0,0
2020-12-26 08:00:00,6,12,1,1,0,0,0
2020-12-26 14:00:00,0,1,2,1,0,0,0
2020-12-26 15:00:00,0,3,0,1,0,0,0
2020-12-26 16:00:00,0,2,1,1,1,0,0
2020-12-26 21:00:00,2,6,1,1,1,0,0
2020-12-26 22:00:00,0,0,0,1,0,0,0
2020-12-26 23:00:00,0,0,0,1,0,0,0
2020-12-27 00:00:00,0,0,0,1,0,0,0
2020-12-27 11:00:00,0,5,0,1,1,0,0
2020-12-27 20:00:00,0,3,0,1,0,0,0
2020-12-28 01:00:00,0,0,0,1,1,0,0
2020-12-28 10:00:00,0,3,0,1,0,0,0
2020-12-28 15:00:00,0,0,0,2,0,0,0
2020-12-28 16:00:00,0,1,1,2,0,0,0
2020-12-28 17:00:00,1,0,0,1,0,0,0
2020-12-29 00:00:00,0,0,0,1,0,0,0
2020-12-29 03:00:00,0,2,0,1,0,0,0
2020-12-29 12:00:00,1,2,0,1,0,0,0
2020-12-29 14:00:00,0,0,0,1,0,0,0
2020-12-29 15:00:00,0,0,0,1,0,0,0
2020-12-29 18:00:00,4,27,1,1,0,0,0
2020-12-29 19:00:00,2,1,0,1,0,0,0
2020-12-29 22:00:00,0,0,0,2,1,0,0
2020-12-30 05:00:00,0,0,0,1,1,0,0
2020-12-30 13:00:00,0,0,0,1,1,0,0
2020-12-30 16:00:00,0,0,0,3,3,0,0
2020-12-30 17:00:00,0,1,0,1,0,0,0
2020-12-30 20:00:00,0,0,0,1,0,0,0
2020-12-30 23:00:00,11,30,15,1,0,0,0
2020-12-31 00:00:00,0,0,0,1,1,0,0
2020-12-31 05:00:00,0,4,0,1,0,0,0
2020-12-31 18:00:00,0,2,0,1,0,0,0
2020-12-31 22:00:00,0,4,0,1,0,0,0
2021-01-01 00:00:00,1,9,2,2,2,0,0
2021-01-01 21:00:00,3,20,2,1,1,0,0
2021-01-01 23:00:00,0,0,0,2,2,0,0
2021-01-02 06:00:00,0,0,0,1,0,0,0
2021-01-03 18:00:00,0,0,0,1,0,0,0
2021-01-04 00:00:00,0,0,0,1,1,0,0
2021-01-04 15:00:00,0,1,0,1,0,0,0
2021-01-04 16:00:00,0,7,0,3,0,1,0
2021-01-04 19:00:00,1,1,3,1,0,0,0
2021-01-04 20:00:00,2,1,1,1,0,0,0
2021-01-04 21:00:00,0,0,0,1,0,0,0
2021-01-05 19:00:00,0,8,1,1,0,0,0
2021-01-06 06:00:00,0,5,0,2,1,0,0
2021-01-06 15:00:00,1,3,0,1,0,0,0
2021-01-06 22:00:00,0,2,0,1,1,0,0
2021-01-06 23:00:00,7,107,8,1,0,0,0
2021-01-07 01:00:00,0,0,0,1,1,0,0
2021-01-07 06:00:00,0,1,0,1,0,0,0
2021-01-07 15:00:00,0,0,0,1,0,0,0
2021-01-07 18:00:00,0,3,0,2,0,0,0
2021-01-07 20:00:00,0,0,0,1,0,0,0
2021-01-08 15:00:00,0,5,0,2,0,0,0
2021-01-08 17:00:00,2,3,3,2,1,0,0
2021-01-08 23:00:00,0,0,0,3,0,0,0
2021-01-09 00:00:00,0,0,1,3,0,0,0
2021-01-09 13:00:00,0,2,0,1,0,0,0
2021-01-09 14:00:00,0,0,1,1,1,0,0
2021-01-09 15:00:00,5,10,4,1,0,0,0
2021-01-09 17:00:00,0,4,3,1,0,0,0
2021-01-10 03:00:00,0,0,0,1,1,0,0
2021-01-10 15:00:00,0,0,0,2,0,0,0
2021-01-10 18:00:00,1,0,1,2,0,0,0
2021-01-10 23:00:00,0,0,0,1,1,0,0
2021-01-11 03:00:00,0,1,0,2,1,0,0
